t [s],Q [rad],W [rad/s],A [rad/s^2],P_dot [m/s],P_ddot [m/s^2]
0.5899999999999872,"-0.5233179784633804,1.8210633437399864","-0.46010428564385586,0.7738706986928808","-0.19229391255419295,0.03842049192152421","-0.11456762623862604,0.30983635440795537","-0.044002268306370385,-0.13426454758467238"
0.599999999999987,"-0.5325976103107385,1.8365524245365417","-0.46398159236790415,0.7744540398277645","-0.19386533620241472,0.029167056744183642","-0.11949158419218579,0.31113569312990125","-0.04249903072907187,-0.13307225754677068"
0.6099999999999868,"-0.5419555588135088,1.8520495349138046","-0.4678974251385138,0.7748555188631554","-0.19579163853048245,0.02007395176954512","-0.12440330096618336,0.312327687080048","-0.04110516457064301,-0.13186854745249096"
0.6199999999999866,"-0.551392738719968,1.8675510923671264","-0.47185899532296016,0.7750778726660809","-0.19807850922231884,0.011117690146271144","-0.1292969670808827,0.3134160722144326","-0.039820564344652525,-0.13064989008776645"
0.6299999999999863,"-0.560910211679929,1.8830535597333666","-0.4758736479980564,0.7751233683120128","-0.2007326337548136,0.002274782296596153","-0.1341668050467063,0.3144048128988508","-0.03864530792924156,-0.12941254272243408"
0.6399999999999861,"-0.5705091893324802,1.8985534357678548","-0.47994888262755253,0.7749938017244193","-0.20376173147480608,-0.006478329379672067","-0.13900706670834945,0.31529810350942833","-0.037579665314625595,-0.12815252272689975"
0.6499999999999859,"-0.5801910368234505,1.9140472456665751","-0.4840923745485182,0.7746904949360098","-0.20717459604828398,-0.015165339420473392","-0.1438120297582293,0.3161003702490133","-0.03662410767251814,-0.12686558077990095"
0.6599999999999857,"-0.5899572767697678,1.929531531504548","-0.48831199731586866,0.7742142918986422","-0.21098113836752141,-0.023810151868382142","-0.14857599337381786,0.31681627319762057","-0.03577931678575841,-0.1255471714032202"
0.6699999999999855,"-0.5998095936888763,1.9450028425599317","-0.4926158459554226,0.7735655527691835","-0.21519243197769836,-0.03243695647293797","-0.1532932729268208,0.3174507086123335","-0.03504619489803994,-0.12419242053443517"
0.6799999999999853,"-0.6097498389123817,1.9604577254918594","-0.4970122611752688,0.7727441465963828","-0.21982076099230796,-0.0410703086400326","-0.15795819370435196,0.31800881148821186","-0.03442587499666154,-0.12279608980218931"
0.6899999999999851,"-0.6197800360040656,1.975892714338519","-0.5015098545841958,0.7717494423329848","-0.22487967044635143,-0.049735213169896896","-0.16256508357410193,0.3184959583879637","-0.03391973156171535,-0.12135253714925881"
0.6999999999999849,"-0.6299023867033157,1.9913043203004204","-0.506117534962504,0.7705802980950665","-0.23038401891540733,-0.058457211895919986","-0.16710826451634792,0.3189177705430883","-0.033529391780468716,-0.11985567338774458"
0.7099999999999846,"-0.6401192774158354,2.0066890212722064","-0.5108445356259859,0.7692350485893031","-0.23635003317409625,-0.0672624752881673","-0.17158204293576335,0.31928011722378585","-0.03325674722680074,-0.1182989142438973"
0.7199999999999844,"-0.6504332862741649,2.0220432510847433","-0.5157004429164735,0.7677114906268497","-0.24279536452438202,-0.07617789812266819","-0.17598069865497404,0.31958911936808787","-0.033103965969112276,-0.11667512738698842"
0.7299999999999842,"-0.6608471907910193,2.037363388417574","-0.5206952258427181,0.7660068666415406","-0.24973914631222846,-0.08523119926545822","-0.1802984724798594,0.3198511534528649","-0.033073505056957886,-0.11497657389377146"
0.739999999999984,"-0.6713639761286622,2.0526457453401714","-0.5258392668821443,0.764117846129865","-0.2572020519713117,-0.09445102558377752","-0.18452955221365855,0.3200728555799038","-0.03316812330804087,-0.1131948435326946"
0.7499999999999838,"-0.6819868440074026,2.0678865554387804","-0.5311433939370241,0.7620405049304494","-0.2652063527439885,-0.10386705997078378","-0.1886680569825577,0.3202611257390248","-0.03339089427027772,-0.1113207831960475"
0.7599999999999836,"-0.6927192222757406,2.083081961484047","-0.5366189134168998,0.7597703022633284","-0.27377597399378584,-0.11351013335604627","-0.19270801972015558,0.32042313219691304","-0.033745219205468274,-0.10934441773841361"
0.7699999999999834,"-0.7035647751635695,2.098228002593103","-0.5422776443914455,0.7573020554527892","-0.28293654872728535,-0.12341234052696254","-0.1966433676412896,0.3205663159442844","-0.0342348398674854,-0.10725486240588437"
0.7799999999999832,"-0.7145274142380457,2.1133206008383962","-0.5481319537238066,0.7546299122646731","-0.292715466618053,-0.1336071594058002","-0.20046790051784896,0.32069839511515147","-0.03486385080276656,-0.10504022597035033"
0.7899999999999829,"-0.7256113100790836,2.128355547254363","-0.5541947920518976,0.7517473207983393","-0.30314191640454824,-0.14412957331669463","-0.20417526654970264,0.32082736926929145","-0.035636710800871184,-0.10268750360236353"
0.7999999999999827,"-0.7368209046877405,2.143328487192124","-0.5604797304328477,0.7486469968880464","-0.31424691904750757,-0.15501619551464554","-0.20775893560359804,0.3209615234021566","-0.03655825304836342,-0.10018245843371697"
0.8099999999999825,"-0.7481609246357822,2.15823490497184","-0.5670009974020844,0.7453208889857912","-0.3260633484618343,-0.16630539511276146","-0.2112121695705174,0.3211094315145135","-0.0376336933755656,-0.09750949069444746"
0.8199999999999823,"-0.7596363949582031,2.173070107782346","-0.5737735161210423,0.7417601405253158","-0.3386259359478972,-0.1780374230237656","-0.21452798957037073,0.3212799595364137","-0.038868635924989604,-0.09465149321929468"
0.8299999999999821,"-0.7712526537820753,2.1878292087782754","-0.5808129411936092,0.7379550497964661","-0.3519712536283403,-0.19025453644248758","-0.21769913970835397,0.3214822673549993","-0.04026907528386964,-0.09158969206591147"
0.8399999999999819,"-0.7830153676744558,2.202507109326343","-0.5881356946190242,0.7338950274033768","-0.36613767127075125,-0.20300111965446693","-0.22071804706469883,0.3217258096430039","-0.04184139402709958,-0.08830347092920508"
0.8499999999999817,"-0.7949305476787317,2.217098480354984","-0.5957590002137985,0.7295685514320365","-0.38116527973871384,-0.21632379856701367","-0.22357677757609684,0.3220203351222002","-0.04359235430333408,-0.08477017800226112"
0.8599999999999814,"-0.807004565992222,2.231597742765344","-0.6037009156745148,0.7249631205180253","-0.3970957730358157,-0.23027154570056058","-0.22626698744475607,0.3223758838225772","-0.04552908179953564,-0.08096491394063449"
0.8699999999999812,"-0.8192441732174771,2.2459990468671167","-0.6119803612627527,0.7200652050886303","-0.41397227941189474,-0.24489577146974725","-0.22877986969203784,0.3228027818119708","-0.04765904011504597,-0.07686029962225664"
0.879999999999981,"-0.8316565160948362,2.2602962508101876","-0.6206171438679521,0.7148601971535373","-0.4318391302599722,-0.2602503967546474","-0.2311060954576705,0.3233116327698183","-0.04998999311945431,-0.07242622249230113"
0.8899999999999808,"-0.844249155593639,2.2744828979930025","-0.6296319749401421,0.7093323591407451","-0.45074155360950047,-0.2763919006396124","-0.2332357496355343,0.32391330566130266","-0.052529952394044246,-0.06762956047787978"
0.8999999999999806,"-0.8570300852031445,2.2885521934414634","-0.6390464804752773,0.7034647724230546","-0.47072527675676,-0.29337933588452586","-0.23515826043576496,0.32461891763127854","-0.05528710630046138,-0.06243388271690702"
0.9099999999999804,"-0.8700077492207051,2.3024969791686254","-0.6488832008780299,0.6972392863580844","-0.49183602013762656,-0.3112743032485112","-0.23686232247296662,0.32543981107940206","-0.05826972655260522,-0.05679912678623401"
0.9199999999999802,"-0.8831910607829776,2.3163097085461644","-0.6591655781136228,0.6906364688769614","-0.5141188617796444,-0.33014087405615006","-0.23833581300654127,0.3263875236957034","-0.06148604742802084,-0.050681252690208164"
0.92999999999998,"-0.896589419324746,2.3299824197442867","-0.669917927088421,0.6836355599061158","-0.537617448739914,-0.35004544854227687","-0.23956570100582217,0.32747375002754825","-0.06494411187909659,-0.04403187470531705"
0.9399999999999797,"-0.9102127270780173,2.3435067083283045","-0.681165387663564,0.676214429200892","-0.5623730287571546,-0.3710565352611927","-0.24053794878783202,0.3287102929118845","-0.06865157789012657,-0.036797873252720006"
0.9499999999999795,"-0.9240714041401366,2.3568736991384696","-0.6929338531059661,0.6683495405082418","-0.5884232721201028,-0.39324443463251163","-0.24123740608501698,0.3301090028392954","-0.07261547732076035,-0.02892099042925816"
0.9599999999999793,"-0.9381764015424774,2.370074017625823","-0.7052498701170388,0.6600159243676752","-0.6158008505536307,-0.41668080702832866","-0.24164769655621787,0.3316817030178739","-0.0768419183969149,-0.020337414694793096"
0.9699999999999791,"-0.9525392116395853,2.3830977608718724","-0.7181405048553965,0.651187162302467","-0.6445317369178857,-0.4414381032604096","-0.24175109696632732,0.3334400975749779","-0.0813357217776932,-0.010977362598610266"
0.9799999999999789,"-0.9671718750115242,2.395934468584883","-0.7316331685969497,0.6418353856505354","-0.6746331870776633,-0.4675888325965764","-0.2415284095437421,0.3353956599763212","-0.08609997895375221,-0.0007646684511982873"
0.9899999999999787,"-0.9820869829289263,2.408573094441539","-0.7457553958701016,0.6319312928327957","-0.7061113636575931,-0.4952046408869898","-0.24095882839587796,0.3375594983585064","-0.09113552058860144,0.0103836034287649"
0.9999999999999785,"-0.9972976742708194,2.421001978230535","-0.7605345670946533,0.6214441894498197","-0.738958561227586,-0.524355169148797","-0.24001980134053522,0.3399421940721434","-0.09644028144558471,0.022557504659702"
1.0099999999999782,"-1.012817625610403,2.4332088193549994","-0.7759975669791762,0.6103420562232085","-0.7731499942261439,-0.5551066613305605","-0.23868688911611352,0.34255360933062207","-0.10200854787308201,0.035854482186540984"
1.019999999999978,"-1.0286610329954244,2.4451806523637565","-0.7921703692510788,0.5985916504378379","-0.8086401135951278,-0.5875202892685273","-0.23693362469022441,0.3454026594747426","-0.10783007368223237,0.05037955979182879"
1.0299999999999778,"-1.0448425837510664,2.4569038253070548","-0.8090775377821001,0.586158647164929","-0.8453584265510696,-0.6216501636454439","-0.23473137631812058,0.3484970450233883","-0.11388905084725218,0.06624538276418111"
1.0399999999999776,"-1.0613774164296783,2.4683639818493504","-0.8267416339305941,0.5730078271147636","-0.8832048074246976,-0.6575410025082724","-0.2320492191345313,0.35184293842420566","-0.12016292318865195,0.08357207804353911"
1.0499999999999774,"-1.0782810668312113,2.4795460482178533","-0.8451825200766491,0.5591033184251534","-0.9220443073027473,-0.6952254344805108","-0.2288538214161802,0.35544462029652674","-0.12662103439271102,0.10248687252331629"
1.0599999999999772,"-1.0955693978319154,2.4904342262172636","-0.8644165500352033,0.5444088999705277","-0.9617014979277166,-0.7347209227312863","-0.22510935324553658,0.35930406003897447","-0.1332231070094068,0.12312340186055148"
1.069999999999977,"-1.113258510601505,2.501011993692916","-0.8844556384794794,0.5288883737826047","-1.0019544222138004,-0.7760263093961491","-0.22077742714361484,0.3634204360387396","-0.13991755681301113,0.1456206316574433"
1.0799999999999768,"-1.1313646346796595,2.5112621139690456","-0.9053062039077237,0.512506013806485","-1.0425282714122137,-0.8191179988059849","-0.2158170823139117,0.3677895914721779","-0.14663965798992032,0.17012130293469724"
1.0899999999999765,"-1.1499039943450695,2.5211666559159984","-0.9269679832704995,0.49522709734763953","-1.0830889681387907,-0.8639458229422751","-0.21018482641595654,0.3724034229473193","-0.15330958942319264,0.19676980556736937"
1.0999999999999763,"-1.1688926487726916,2.5307070263972276","-0.9494327213811128,0.4770185240614578","-1.1232369055306675,-0.9104286643090866","-0.20383475119966135,0.3772492011464888","-0.1598304115658062,0.22570937828428178"
1.1099999999999761,"-1.188346303670227,2.539864016898416","-0.9726827448767665,0.45784952505942206","-1.162501174782684,-0.9584499501017857","-0.19671874077070145,0.38230882533105937","-0.16608604739837107,0.2570785339337584"
1.119999999999976,"-1.2082800924492099,2.5486178661288204","-0.9966894389491451,0.43769246152022484","-1.2003347036189271,-1.007853176959861","-0.18878679355427427,0.3875580172209688","-0.17193936967008208,0.291006616425806"
1.1299999999999757,"-1.2287083255570015,2.556948340288854","-1.0214116553895805,0.4165237080016863","-1.2361108220217645,-1.0584376759269274","-0.17998748094690567,0.392965464495553","-0.17723052963440314,0.32760841396463347"
1.1399999999999755,"-1.2496442074092875,2.5648348324967585","-1.046794092614294,0.3943246103952155","-1.2691218612356778,-1.1099548803235397","-0.17026856688005906,0.39849193007830475","-0.18177569831136026,0.3669777849192562"
1.1499999999999753,"-1.2710995214482452,2.5722564825405203","-1.0727657019478882,0.3710825021880823","-1.2985804666797147,-1.162105410356659","-0.15957781267571824,0.4040893504956147","-0.185366427716277,0.40918030107650416"
1.159999999999975,"-1.293084285227612,2.579192317651386","-1.0992381889683498,0.3467917555432854","-1.3236243510230759,-1.2145373322398467","-0.1478639901837964,0.4096999548597256","-0.18776987258117545,0.45424498045509304"
1.1699999999999748,"-1.315606379092245,2.5856214143709684","-1.1261046932316425,0.3214548359791236","-1.343325213164639,-1.266845978208088","-0.1350781227365814,0.41525544518660296","-0.18873013796528815,0.5021552697239883"
1.1799999999999746,"-1.3386711539504232,2.5915230808029115","-1.1532387429089062,0.2950833215971671","-1.3567024838631814,-1.3185757190978271","-0.12117496739820134,0.42067628838807525","-0.1879710280405615,0.5528395436473149"
1.1899999999999744,"-1.3622810257730495,2.596877057613554","-1.1804935911313192,0.26769884053211895","-1.3627424111206583,-1.3692240532524071","-0.10611474284263776,0.4258711797021145","-0.18520045891158243,0.6061615122113482"
1.1999999999999742,"-1.3864350666972938,2.60166373510156","-1.207702046212207,0.23933387440028736","-1.3604227540443812,-1.4182483065915794","-0.08986509460901673,0.43073674561053765","-0.18011675552273693,0.6619110574309314"
1.209999999999974,"-1.4111286048240792,2.6058643825405414","-1.2346769063392788,0.21003237194907992","-1.3487430063535928,-1.4650751225603713","-0.07240327335332311,0.4351575602508307","-0.17241697265395564,0.7197961492254804"
1.2199999999999738,"-1.4363528468011395,2.609461384877017","-1.2612120988530127,0.179850116823786","-1.3267596256866907,-1.509112756264697","-0.05371848230345226,0.4390065515690352","-0.16180725812956545,0.779436596620114"
1.2299999999999736,"-1.4623785216911511,2.612472828728842","-1.3012837445005763,0.15057219259123875","-1.3267596256866907,-1.4638962116273622","-0.034125052990387476,0.447028838417754","-0.195920053486652,0.877713469058907"
1.2399999999999733,"-1.4883959630994654,2.614786591685237","-1.300872070415719,0.11568814781974084","0.020583704242861097,-1.7442022385748954","-0.012423854106853488,0.4405622992660771","0.2335188608172394,1.1311605489633358"
1.2499999999999731,"-1.5143656286201228,2.6164287321773063","-1.2984832760328717,0.08210702460348884","0.11943971914235797,-1.6790561608125996","0.00913462486506085,0.43319809379890606","0.25024057939247424,1.1504035608708596"
1.259999999999973,"-1.5402469423877247,2.6174266727151325","-1.294065688380092,0.0498970268913131","0.220879382638992,-1.610499885608787","0.03043040364957353,0.42490581531163885","0.26838559134503936,1.1652776641648006"
1.2699999999999727,"-1.5659988833093317,2.617808977739766","-1.2875970460803516,0.01911525123167772","0.3234321149870107,-1.539088782981769","0.0513428355743267,0.4156713457649648","0.2875814450774985,1.1755733290745283"
1.2799999999999725,"-1.59158056924783,2.6176051128847053","-1.2790842969249148,-0.010193242753041848","0.4256374577718537,-1.4654246992359785","0.0717530005170939,0.4054970923722095","0.3074377339319529,1.1811726754033394"
1.2899999999999723,"-1.6169518189331131,2.6168451939992607","-1.2685624842641516,-0.03799594427223195","0.5260906330381564,-1.3901350759595053","0.09154609164190537,0.3944017287253494","0.32755906096485926,1.1820515950192392"
